algorithm,comparisons,match,wall_sec,text_size,pattern_size,case
Naive,537,"(22, 22)",0.001228,25,3,contrived
Rabin-Karp,538,"(22, 22)",0.001941,25,3,contrived
Vectorized RK,538,"(22, 22)",0.001768,25,3,contrived
Greedy KMP,1157,"(22, 22)",0.000864,25,3,contrived
Greedy BM,195,"(22, 22)",0.000319,25,3,contrived
Bird-KMP,577,"(22, 22)",0.001547,25,3,contrived
Bird-BM,189,"(22, 22)",0.00086,25,3,contrived
Naive,2312,"(47, 47)",0.003038,50,3,contrived
Rabin-Karp,2313,"(47, 47)",0.007802,50,3,contrived
Vectorized RK,2313,"(47, 47)",0.00293,50,3,contrived
Greedy KMP,4807,"(47, 47)",0.003581,50,3,contrived
Greedy BM,778,"(47, 47)",0.001382,50,3,contrived
Bird-KMP,2402,"(47, 47)",0.003733,50,3,contrived
Bird-BM,772,"(47, 47)",0.003547,50,3,contrived
Naive,9612,"(97, 97)",0.011634,100,3,contrived
Rabin-Karp,9613,"(97, 97)",0.027883,100,3,contrived
Vectorized RK,9613,"(97, 97)",0.005785,100,3,contrived
Greedy KMP,19607,"(97, 97)",0.009997,100,3,contrived
Greedy BM,3245,"(97, 97)",0.003127,100,3,contrived
Bird-KMP,9802,"(97, 97)",0.012476,100,3,contrived
Bird-BM,3239,"(97, 97)",0.011368,100,3,contrived
Naive,39212,"(197, 197)",0.047298,200,3,contrived
Rabin-Karp,39213,"(197, 197)",0.123212,200,3,contrived
Vectorized RK,39213,"(197, 197)",0.027949,200,3,contrived
Greedy KMP,79207,"(197, 197)",0.044808,200,3,contrived
Greedy BM,13078,"(197, 197)",0.013425,200,3,contrived
Bird-KMP,39602,"(197, 197)",0.05327,200,3,contrived
Bird-BM,13072,"(197, 197)",0.051493,200,3,contrived
Naive,248012,"(497, 497)",0.332865,500,3,contrived
Rabin-Karp,248013,"(497, 497)",0.767963,500,3,contrived
Vectorized RK,248013,"(497, 497)",0.159113,500,3,contrived
Greedy KMP,498007,"(497, 497)",0.260991,500,3,contrived
Greedy BM,82678,"(497, 497)",0.127859,500,3,contrived
Bird-KMP,249002,"(497, 497)",0.339164,500,3,contrived
Bird-BM,82672,"(497, 497)",0.294746,500,3,contrived
Naive,996012,"(997, 997)",1.188656,1000,3,contrived
Rabin-Karp,996013,"(997, 997)",3.361509,1000,3,contrived
Vectorized RK,996013,"(997, 997)",0.680042,1000,3,contrived
Greedy KMP,1996007,"(997, 997)",1.153057,1000,3,contrived
Greedy BM,332345,"(997, 997)",0.336493,1000,3,contrived
Bird-KMP,998002,"(997, 997)",1.656414,1000,3,contrived
Bird-BM,332339,"(997, 997)",1.333657,1000,3,contrived
Naive,3992012,"(1997, 1997)",5.148479,2000,3,contrived
Rabin-Karp,3992013,"(1997, 1997)",13.415219,2000,3,contrived
Vectorized RK,3992013,"(1997, 1997)",2.862937,2000,3,contrived
Greedy KMP,7992007,"(1997, 1997)",4.414015,2000,3,contrived
Greedy BM,1330678,"(1997, 1997)",1.374002,2000,3,contrived
Bird-KMP,3996002,"(1997, 1997)",5.750196,2000,3,contrived
Bird-BM,1330672,"(1997, 1997)",5.083029,2000,3,contrived
