algorithm,comparisons,match,wall_sec,qr_file,qr_idx,text_h,text_w
Naive,1781,"(26, 26)",0.003605,benign_0.png,0,37,37
Rabin-Karp,910,"(26, 26)",0.003964,benign_0.png,0,37,37
Vectorized RK,910,"(26, 26)",0.002611,benign_0.png,0,37,37
Greedy KMP,2434,"(26, 26)",0.001703,benign_0.png,0,37,37
Greedy BM,669,"(26, 26)",0.000582,benign_0.png,0,37,37
Bird-KMP,1039,"(26, 26)",0.003852,benign_0.png,0,37,37
Bird-BM,215,"(26, 26)",0.003741,benign_0.png,0,37,37
Naive,1733,"(26, 26)",0.002615,benign_1.png,1,37,37
Rabin-Karp,910,"(26, 26)",0.002786,benign_1.png,1,37,37
Vectorized RK,910,"(26, 26)",0.001265,benign_1.png,1,37,37
Greedy KMP,2417,"(26, 26)",0.001919,benign_1.png,1,37,37
Greedy BM,596,"(26, 26)",0.000603,benign_1.png,1,37,37
Bird-KMP,1034,"(26, 26)",0.002449,benign_1.png,1,37,37
Bird-BM,216,"(26, 26)",0.002199,benign_1.png,1,37,37
Naive,1646,"(26, 26)",0.00144,benign_10.png,2,37,37
Rabin-Karp,910,"(26, 26)",0.001601,benign_10.png,2,37,37
Vectorized RK,910,"(26, 26)",0.000992,benign_10.png,2,37,37
Greedy KMP,2356,"(26, 26)",0.001553,benign_10.png,2,37,37
Greedy BM,507,"(26, 26)",0.000452,benign_10.png,2,37,37
Bird-KMP,1028,"(26, 26)",0.002297,benign_10.png,2,37,37
Bird-BM,204,"(26, 26)",0.002233,benign_10.png,2,37,37
Naive,1648,"(26, 26)",0.001896,benign_100.png,3,37,37
Rabin-Karp,910,"(26, 26)",0.002131,benign_100.png,3,37,37
Vectorized RK,910,"(26, 26)",0.001331,benign_100.png,3,37,37
Greedy KMP,2382,"(26, 26)",0.001938,benign_100.png,3,37,37
Greedy BM,502,"(26, 26)",0.000522,benign_100.png,3,37,37
Bird-KMP,1028,"(26, 26)",0.003449,benign_100.png,3,37,37
Bird-BM,204,"(26, 26)",0.00218,benign_100.png,3,37,37
Naive,2238,"(30, 30)",0.001897,benign_1000.png,4,41,41
Rabin-Karp,1166,"(30, 30)",0.002088,benign_1000.png,4,41,41
Vectorized RK,1166,"(30, 30)",0.001167,benign_1000.png,4,41,41
Greedy KMP,3054,"(30, 30)",0.001509,benign_1000.png,4,41,41
Greedy BM,800,"(30, 30)",0.000523,benign_1000.png,4,41,41
Bird-KMP,1305,"(30, 30)",0.00252,benign_1000.png,4,41,41
Bird-BM,270,"(30, 30)",0.003759,benign_1000.png,4,41,41
Naive,2224,"(30, 30)",0.00191,benign_10000.png,5,41,41
Rabin-Karp,1166,"(30, 30)",0.002085,benign_10000.png,5,41,41
Vectorized RK,1166,"(30, 30)",0.001154,benign_10000.png,5,41,41
Greedy KMP,3070,"(30, 30)",0.001524,benign_10000.png,5,41,41
Greedy BM,730,"(30, 30)",0.000485,benign_10000.png,5,41,41
Bird-KMP,1320,"(30, 30)",0.002533,benign_10000.png,5,41,41
Bird-BM,278,"(30, 30)",0.002259,benign_10000.png,5,41,41
Naive,2233,"(30, 30)",0.001958,benign_10001.png,6,41,41
Rabin-Karp,1166,"(30, 30)",0.002079,benign_10001.png,6,41,41
Vectorized RK,1166,"(30, 30)",0.00116,benign_10001.png,6,41,41
Greedy KMP,3089,"(30, 30)",0.001514,benign_10001.png,6,41,41
Greedy BM,709,"(30, 30)",0.00047,benign_10001.png,6,41,41
Bird-KMP,1317,"(30, 30)",0.002527,benign_10001.png,6,41,41
Bird-BM,268,"(30, 30)",0.002252,benign_10001.png,6,41,41
Naive,2293,"(30, 30)",0.00192,benign_10002.png,7,41,41
Rabin-Karp,1166,"(30, 30)",0.002505,benign_10002.png,7,41,41
Vectorized RK,1166,"(30, 30)",0.001198,benign_10002.png,7,41,41
Greedy KMP,3128,"(30, 30)",0.001536,benign_10002.png,7,41,41
Greedy BM,739,"(30, 30)",0.000482,benign_10002.png,7,41,41
Bird-KMP,1328,"(30, 30)",0.002532,benign_10002.png,7,41,41
Bird-BM,262,"(30, 30)",0.002257,benign_10002.png,7,41,41
Naive,2218,"(30, 30)",0.001896,benign_10003.png,8,41,41
Rabin-Karp,1166,"(30, 30)",0.002077,benign_10003.png,8,41,41
Vectorized RK,1166,"(30, 30)",0.001357,benign_10003.png,8,41,41
Greedy KMP,3084,"(30, 30)",0.002338,benign_10003.png,8,41,41
Greedy BM,730,"(30, 30)",0.000478,benign_10003.png,8,41,41
Bird-KMP,1308,"(30, 30)",0.002467,benign_10003.png,8,41,41
Bird-BM,264,"(30, 30)",0.002193,benign_10003.png,8,41,41
Naive,2216,"(30, 30)",0.00184,benign_10004.png,9,41,41
Rabin-Karp,1166,"(30, 30)",0.002031,benign_10004.png,9,41,41
Vectorized RK,1166,"(30, 30)",0.001133,benign_10004.png,9,41,41
Greedy KMP,3073,"(30, 30)",0.001461,benign_10004.png,9,41,41
Greedy BM,715,"(30, 30)",0.000551,benign_10004.png,9,41,41
Bird-KMP,1307,"(30, 30)",0.002761,benign_10004.png,9,41,41
Bird-BM,274,"(30, 30)",0.002361,benign_10004.png,9,41,41
Naive,2333,"(30, 30)",0.002038,benign_10005.png,10,41,41
