algorithm,comparisons,match,wall_sec,pattern_size,text_size,seed
Naive,596,,0.000916,3,25,42
Rabin-Karp,529,,0.00287,3,25,42
Vectorized RK,529,,0.001771,3,25,42
Greedy KMP,1129,,0.000578,3,25,42
Greedy BM,596,,0.000575,3,25,42
Bird-KMP,4875,,0.003063,3,25,42
Bird-BM,5007,,0.003545,3,25,42
Naive,596,,0.000758,3,25,7
Rabin-Karp,529,,0.001774,3,25,7
Vectorized RK,529,,0.000546,3,25,7
Greedy KMP,1129,,0.000608,3,25,7
Greedy BM,596,,0.000664,3,25,7
Bird-KMP,4943,,0.004062,3,25,7
Bird-BM,5105,,0.003231,3,25,7
Naive,642,,0.000835,3,25,123
Rabin-Karp,529,,0.001657,3,25,123
Vectorized RK,529,,0.000474,3,25,123
Greedy KMP,1152,,0.000593,3,25,123
Greedy BM,290,,0.000233,3,25,123
Bird-KMP,2392,,0.001751,3,25,123
Bird-BM,2554,,0.00223,3,25,123
Naive,706,,0.000822,3,25,2024
Rabin-Karp,529,,0.001792,3,25,2024
Vectorized RK,529,,0.000916,3,25,2024
Greedy KMP,1216,,0.000821,3,25,2024
Greedy BM,354,,0.000296,3,25,2024
Bird-KMP,2432,,0.001811,3,25,2024
Bird-BM,2388,,0.002067,3,25,2024
Naive,640,,0.000727,3,25,999
Rabin-Karp,529,,0.001677,3,25,999
Vectorized RK,529,,0.000487,3,25,999
Greedy KMP,1151,,0.000617,3,25,999
Greedy BM,1530,,0.001116,3,25,999
Bird-KMP,3473,,0.002161,3,25,999
Bird-BM,5357,,0.002689,3,25,999
Naive,2446,,0.003664,3,50,42
Rabin-Karp,2304,,0.007517,3,50,42
Vectorized RK,2304,,0.001616,3,50,42
Greedy KMP,4754,,0.002201,3,50,42
Greedy BM,2446,,0.002207,3,50,42
Bird-KMP,20950,,0.011968,3,50,42
Bird-BM,21559,,0.012138,3,50,42
Naive,2446,,0.002482,3,50,7
Rabin-Karp,2304,,0.006486,3,50,7
Vectorized RK,2304,,0.002245,3,50,7
